"first_name","last_name","email","phone_number","address","registration_date","preferences"
Michael,Rodriguez,michael.rodriguez@example.com,"1823456789","780 Magnolia St",2021-07-25,"{""newsletter"": true, ""preferred_actors"": [""Bradley Cooper""], ""preferred_genres"": [""Drama"", ""Drama""]}"
Evelyn,Lewis,evelyn.lewis@example.com,"1923456789","891 Dogwood St",2021-08-02,"{""newsletter"": true, ""preferred_actors"": [""Ryan Gosling""], ""preferred_genres"": [""Drama"", ""Romance""]}"
Daniel,Lee,daniel.lee@example.com,"2023456789","902 Hickory St",2021-09-09,"{""newsletter"": false, ""preferred_actors"": [""Harrison Ford""], ""preferred_genres"": [""Sci-Fi""]}"
Sofia,Walker,sofia.walker@example.com,"2123456789","103 Juniper St",2021-10-18,"{""newsletter"": true, ""preferred_actors"": [""Steve Carell""], ""preferred_genres"": [""Drama"", ""Comedy""]}"
Matthew,Hall,matthew.hall@example.com,"2223456789","214 Hemlock St",2021-11-27,"{""newsletter"": true, ""preferred_actors"": [""Chris Evans""], ""preferred_genres"": [""Drama"", ""Action""]}"
Avery,Allen,avery.allen@example.com,"2323456789","325 Cottonwood St",2021-12-06,"{""newsletter"": false, ""preferred_actors"": [""Anne Hathaway""], ""preferred_genres"": [""Drama""]}"
Joseph,Young,joseph.young@example.com,"2423456789","436 Beech St",2020-01-13,"{""newsletter"": true, ""preferred_actors"": [""Kevin Spacey""], ""preferred_genres"": [""Drama"", ""Thriller""]}"
Ella,Hernandez,ella.hernandez@example.com,"2523456789","547 Aspen St",2020-02-22,"{""newsletter"": true, ""preferred_actors"": [""Idina Menzel""], ""preferred_genres"": [""Drama"", ""Animation""]}"
David,King,david.king@example.com,"2623456789","658 Alder St",2020-03-31,"{""newsletter"": false, ""preferred_actors"": [""Keanu Reeves""], ""preferred_genres"": [""Sci-Fi""]}"
Abigail,Wright,abigail.wright@example.com,"2723456789","769 Cedar St",2020-04-09,"{""newsletter"": true, ""preferred_actors"": [""Julia Roberts""], ""preferred_genres"": [""Drama"", ""Romance""]}"
Christopher,Lopez,christopher.lopez@example.com,"2823456789","870 Sequoia St",2020-05-18,"{""newsletter"": true, ""preferred_actors"": [""Bruce Willis""], ""preferred_genres"": [""Drama"", ""Action""]}"
Avery,Hill,avery.hill@example.com,"2923456789","981 Redwood St",2020-06-27,"{""newsletter"": false, ""preferred_actors"": [""Jim Carrey""], ""preferred_genres"": [""Comedy""]}"
Andrew,Scott,andrew.scott@example.com,"3023456789","192 Cedar St",2020-07-06,"{""newsletter"": true, ""preferred_actors"": [""Tom Hanks""], ""preferred_genres"": [""Drama"", ""Drama""]}"
